YEAR,MONTH,BEGIN_TIME,BEGIN_LAT,BEGIN_LON,STATE,EVENT_TYPE,FLOOD_CAUSE,EVENT_NARRATIVE,temperature_2m_mean,wind_speed_10m_mean,cloud_cover_mean,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,rain_sum,pressure_msl_mean,soil_moisture_0_to_10cm_mean,elevation
2004,5,2242,32.91667,-97.41667,TEXAS,Normal,,,22.07309,12.969998,34.53144,75.25163,17.27075,0.13295357,0.13295357,1012.13965,0.33078945,252.0
2004,5,2255,33.36667,-97.18333,TEXAS,Normal,,,20.175583,11.939189,38.906536,80.56559,17.589277,0.36540106,0.36540106,1012.8679,0.39693362,215.0
2004,5,1956,33.36667,-97.15,TEXAS,Normal,,,20.05755,11.939189,38.906536,81.90755,17.717403,0.36540106,0.36540106,1012.8679,0.3418518,206.0
2004,5,2020,33.18333,-97.3,TEXAS,Normal,,,22.023163,13.177276,35.104763,75.62942,17.28994,0.13749115,0.13749115,1012.22107,0.32366323,229.0
2004,5,2023,33.46667,-96.91667,TEXAS,Normal,,,19.966208,11.851143,39.52606,82.02808,17.653969,0.370727,0.370727,1012.9735,0.30184624,207.0
2004,5,2101,33.23333,-97.16667,TEXAS,Normal,,,20.225075,11.939189,38.906536,80.55772,17.624815,0.36540106,0.36540106,1012.8679,0.30571046,214.0
2004,5,1941,31.71667,-98.98333,TEXAS,Normal,,,23.183128,14.409556,52.135616,58.21619,16.015854,0.0,0.0,1015.4532,0.17871162,411.0
2004,6,2031,32.01667,-102.1,TEXAS,Normal,,,31.31213,21.009642,0.0,27.70348,10.974328,0.0,0.0,1008.04224,0.15413858,854.0
2004,9,947,29.31667,-103.53333,TEXAS,Normal,,,28.354628,8.19316,0.0,47.134335,16.228374,0.0,0.0,1017.44446,0.02330904,774.0
2004,11,2100,31.21667,-96.28333,TEXAS,Normal,,,25.069857,20.872849,30.759659,78.591675,21.800127,0.21758322,0.21758322,1016.75134,0.21699215,114.0
2004,12,1330,33.21667,-97.11667,TEXAS,Normal,,,10.091671,11.370622,88.92226,95.49585,11.654314,2.709524,2.709524,1021.6664,0.34760612,196.0
2004,12,800,33.65,-96.75,TEXAS,Normal,,,9.17059,10.512611,88.888565,96.882225,10.99101,1.694181,1.694181,1021.7366,0.3524642,226.0
2004,12,1830,32.91667,-96.63333,TEXAS,Normal,,,10.401846,12.140602,88.89021,94.91108,11.827739,2.448027,2.448027,1021.8436,0.44646576,164.0
2004,12,1900,33.6,-96.08333,TEXAS,Normal,,,8.403165,8.6658745,89.151855,92.62134,9.6967125,2.7602997,2.7602997,1022.44904,0.36208954,183.0
2004,12,1000,33.25,-95.83333,TEXAS,Normal,,,9.358713,9.386313,90.223335,95.39652,10.866865,2.4760537,2.4760537,1022.4707,0.3482876,149.0
2004,12,930,32.9,-96.23333,TEXAS,Normal,,,10.330515,11.569439,89.61325,94.57532,11.729325,2.1886723,2.1886723,1022.18695,0.3450425,158.0
2004,12,900,32.95,-96.31667,TEXAS,Normal,,,10.265999,11.569439,89.61325,94.03436,11.587507,2.1886723,2.1886723,1022.18695,0.35320437,159.0
